id,category,question,answer
37,Payment,What payment methods do you accept?,"We accept credit/debit cards, mobile wallets like FriMi, bank transfers, and cash on delivery."
38,Payment,Can I pay cash when my order arrives?,"Yes, Cash on Delivery is available for orders under Rs. 15,000."
39,Payment,Do you accept card payments?,"Yes, we accept Visa, Mastercard, and most local bank debit/credit cards."
40,Payment,Is it safe to enter my card details on your website?,"Yes, all payments are processed through a secure, encrypted payment gateway and we never store your full card details."
41,Payment,Can I pay in installments?,"Yes, selected banks offer 3, 6, or 12-month installment plans on orders above a set value. Options appear at checkout if you qualify."
42,Payment,How long does a refund take to process?,"Refunds to your card usually take 3-5 business days to reflect, depending on your bank's processing time."
43,Payment,When will I get my money back after a refund?,"Refunds are processed within 24 hours on our end, but banks typically take 3-5 working days to show it in your account."
44,Payment,Why was my card charged before delivery?,"For card payments, we place a temporary hold for the order value. Only the actual delivered amount is finally charged, and the rest is released automatically."
45,Payment,Can I use more than one promo code on an order?,"No, only one promo code can be applied per order, and each code can only be used once per account."
46,Payment,Why isn't my discount code working?,"Promo codes are usually limited to one use per customer and may exclude certain items like rice, sugar, or infant food. Please check the code's terms."
47,Payment,Do you offer any loyalty or rewards program?,"Yes, you earn points on every purchase which can be redeemed for discounts on future orders."
48,Payment,Is cash on delivery available for all areas?,"Cash on delivery is available in most areas, but some remote locations may require prepayment. This will be shown at checkout."
49,Payment,Will I get a receipt for my order?,"Yes, a digital invoice is emailed to you, and a printed bill is also included with your delivery."
50,Payment,Can I request a VAT invoice for my company?,"Yes, please add your company details and VAT number in the billing section at checkout."
51,Returns,What is your return policy?,"Fresh items like fruits, vegetables, and dairy must be returned within 24 hours of delivery. Other items can be returned within 3 days, with the original bill."
52,Returns,Can I return spoiled vegetables or fruit?,"Yes, fresh produce can be returned within 24 hours of delivery if there's a quality issue, along with your bill."
53,Returns,How do I return a damaged item?,"Contact support with your order number and a photo of the damaged item within 3 days, and we'll arrange a pickup for exchange or refund."
54,Returns,Can I exchange an item instead of returning it?,"Yes, exchanges are allowed under the same conditions as returns, as long as the item is unused and in original packaging."
55,Returns,What condition should returned items be in?,"Items must be unused, unopened, and in their original packaging along with the invoice."
56,Returns,"Can I return items I no longer want, even if there's no issue with them?","Change-of-mind returns aren't accepted for grocery items due to hygiene and freshness standards, except for defective or wrong items."
57,Returns,"I received the wrong item, what should I do?","Contact our support team immediately, and we'll arrange a free pickup along with the correct item or a full refund."
58,Returns,How long does a refund take after a return?,"Once we receive and inspect the returned item, refunds are processed within 3-5 business days."
59,Returns,Do I need to pay for return shipping?,"No, if the return is due to a wrong, damaged, or expired item, pickup is free of charge."
60,Returns,Can I return liquor or alcohol products?,"No, alcohol purchases cannot be returned or exchanged once delivered, in line with local regulations."
61,Returns,What if an item I received has already expired?,"Please report it within 24 hours with a photo of the expiry date, and you'll receive an immediate replacement or refund."
62,Returns,Who do I contact for a return request?,"You can raise a return request through 'My Orders' on the app, or contact our customer support hotline directly."
63,Returns,Is there a customer support number I can call?,"Yes, our support line is open daily from 8 AM to 9 PM and the number is listed in the Contact Us page."
64,Returns,Can I chat with customer support online?,"Yes, we have a live chat option on our website and app for quick questions."
65,Returns,How long does it take for support to respond to an email?,We usually respond to email queries within 24 hours on business days.
66,Account,How do I create an account?,"Click 'Sign Up', enter your name, phone number, and email, and verify with the OTP sent to your phone."
67,Account,"I forgot my password, how do I reset it?",Click 'Forgot Password' on the login page and follow the link sent to your registered email or phone.
68,Account,How do I change my registered phone number?,"Go to Account Settings > Profile, and update your phone number. You'll need to verify it with a new OTP."
69,Account,Can I have more than one delivery address saved?,"Yes, you can save multiple addresses like home and office, and choose which one to use at checkout."
70,Account,How do I view my past orders?,Go to 'My Orders' in your account to see your full order history and reorder items easily.
71,Account,Can I delete my account?,"Yes, you can request account deletion by contacting customer support, and your data will be removed as per our privacy policy."
72,Account,Is my personal data safe with you?,"Yes, we follow strict data protection practices and never share your personal information with third parties without consent."
73,Account,How do I update my email address?,"Go to Account Settings > Profile and edit your email address, then confirm it via the verification link sent to you."
74,Account,Can I reorder my previous shopping list quickly?,"Yes, click 'Reorder' next to any past order in 'My Orders' to add all those items back to your cart instantly."
75,Account,Do I need to verify my phone number to place an order?,"Yes, phone verification via OTP is required during sign-up to keep your account secure."
76,Products,How do I know if a product is currently in stock?,"Product availability is shown live on the product page. If it's marked 'Out of Stock', it isn't available for ordering."
77,Products,Do you sell fresh fruits and vegetables?,"Yes, we have a dedicated Fresh section with daily-updated fruits, vegetables, meat, and dairy products."
78,Products,Are your fresh products sourced locally?,"Yes, the majority of our fresh produce is sourced from local farmers and suppliers to ensure freshness."
79,Products,Can I see the expiry date before ordering packaged food?,"Exact expiry dates aren't shown online, but we guarantee a minimum shelf life of at least 60% remaining upon delivery."
80,Products,What happens if my item is out of stock after I've ordered?,We'll call you before delivery to suggest a similar substitute or simply remove the item and adjust your bill.
81,Products,Can I say no to substitute items?,"Yes, you can opt out of substitutions when placing your order, and unavailable items will just be removed from your bill instead."
82,Products,Do you sell imported grocery items?,"Yes, we stock a range of imported items under our Global/International grocery category."
83,Products,Are there organic product options available?,"Yes, we have a dedicated Organic section for fruits, vegetables, and pantry staples."
84,Products,Can I request a product that isn't listed on your site?,"Yes, you can submit a product request through the 'Suggest a Product' form on our website."
85,Products,Do you sell household items along with groceries?,"Yes, alongside groceries we also stock cleaning supplies, toiletries, and basic homeware."
86,Products,Is there a size guide for household products like storage boxes?,"Yes, dimensions and capacity are listed in the product description for all homeware items."
87,Products,Can I buy alcohol or liquor through your website?,"Yes, but you must be 21 or older and the delivery rider will verify your ID upon delivery."
88,Products,Do you sell baby products like diapers and formula?,"Yes, we have a dedicated Baby Care category covering diapers, formula, and baby food."
89,Products,Are prices on the website the same as in physical stores?,"Prices may occasionally differ slightly due to online-exclusive promotions, but we try to keep them consistent."
90,Products,Do product prices include taxes?,"Yes, all displayed prices are inclusive of applicable taxes."
91,Promotions,How do I find out about ongoing discounts?,Check the 'Offers' tab on our homepage or subscribe to our newsletter for weekly promotions.
92,Promotions,Do you send notifications about sales?,"Yes, if you enable notifications in the app, you'll be alerted about flash sales and weekly discounts."
93,Promotions,Are promo codes valid on all products?,"No, some items like rice, sugar, milk powder, infant food, and liquor are usually excluded from promotional discounts."
94,Promotions,Can I use a discount code more than once?,"No, each promo code is valid for a single use per customer account."
95,Promotions,Do you have special discounts for first-time customers?,"Yes, new customers usually get a welcome discount on their first order above a minimum value."
96,Promotions,Is there a referral program?,"Yes, you can refer friends and both of you receive a discount voucher once their first order is completed."
97,Promotions,How do I redeem loyalty points?,"At checkout, you'll see an option to apply your available loyalty points as a discount on your bill."
98,Promotions,Do loyalty points expire?,"Yes, loyalty points expire 12 months after they're earned if not redeemed."
99,Promotions,Can I combine loyalty points with a promo code?,"No, only one discount method, either loyalty points or a promo code, can be applied per order."
100,Promotions,Are delivery charges waived during promotional periods?,"Sometimes, free delivery promotions are run occasionally and will be clearly shown on the homepage banner when active."
